Title,Director,Cast(Subject of documentary),Genre,Notes
The Green Hornet,Michel Gondry,"Seth Rogen, Jay Chou, Christoph Waltz, Cameron Diaz, Edward James Olmos, David Harbour, Tom Wilkinson, Edward Furlong","Comedy,Superhero",Columbia Pictures
,,,,Based on theradio series of the same name byGeorge W. Trendle
Green Lantern,Martin Campbell,"Ryan Reynolds, Blake Lively, Peter Sarsgaard, Mark Strong, Angela Bassett and Tim Robbins,Temuera Morrison, Taika Waititi, Geoffrey Rush, Michael Clarke Duncan",Superhero,"Warner Bros. Pictures, DC Entertainment, De Line Pictures"
,,,,Based on the comic book character of the same name
Hall Pass,Farrelly Brothers,"Owen Wilson, Jason Sudeikis",Comedy,New Line Cinema
The Hangover: Part II,Todd Phillips,"Bradley Cooper, Ed Helms, Zach Galifianakis, Ken Jeong, Jeffrey Tambor, with Justin Bartha andPaul Giamatti",Comedy,"Warner Bros. Pictures,Legendary Pictures"
,,,,Preceded by The Hangover (2009)
Hanna,Joe Wright,"Saoirse Ronan, Eric Bana, Tom Hollander, Olivia Williams, Jason Flemyng and Cate Blanchett",Action thriller,Focus Features
Happy Feet Two,George Miller,"Elijah Wood, Robin Williams, Hank Azaria, Alecia Moore (Pink), Brad Pitt, Matt Damon, Sofía Vergara,Hugo Weaving, Richard Carter, Common, Magda Szubanski, Anthony LaPaglia","Animated, Family","Warner Bros. Pictures, Village Roadshow Pictures"
,,,,Preceded byHappy Feet(2006)
Happythankyoumoreplease,Josh Radnor,"Josh Radnor, Malin Åkerman, Kate Mara, Zoe Kazan, Pablo Schreiber, Tony Hale",Romantic comedy,Anchor Bay Films
Harry Potter and the Deathly Hallows: Part 2,David Yates,"Daniel Radcliffe, Rupert Grint, Emma Watson, Helena Bonham Carter, Robbie Coltrane, Warwick Davis, Ralph Fiennes, Michael Gambon, Brendan Gleeson, Richard Griffiths, John Hurt, Jason Isaacs, Alan Rickman, Fiona Shaw, Timothy Spall, Imelda Staunton, David Thewlis, Julie Walters","Action-adventure, Fantasy",Warner Bros. Pictures
,,,,Based on thenovel of the same name by J. K. Rowling
,,,,Preceded byHarry Potter and the Deathly Hallows: Part 1(2010)
The Heart Specialist,Dennis Cooper,"Wood Harris, Zoe Saldana, Brian White, Mýa, Method Man, Jasmine Guy, Leon, Ed Asner, Jenifer Lewis, Terrence J, Marla Gibbs, Nephew Tommy",Romantic comedy,Freestyle Releasing
The Help,Tate Taylor,"Jessica Chastain, Viola Davis, Bryce Dallas Howard, Allison Janney, Octavia Spencer, Emma Stone,Anna Camp, Dana Ivey, Leslie Jordan, Brian Kerwin, Chris Lowell, David Oyelowo, Sissy Spacek,Cicely Tyson, Mike Vogel",Comedy drama,"Touchstone Pictures,DreamWorks Pictures, Reliance Entertainment,Participant Media"
,,,,Based on the novel of the same name by Kathryn Stockett
Hesher,Spencer Susser,"Joseph Gordon-Levitt, Devin Brochu, Rainn Wilson and Natalie Portman, Piper Laurie",Drama,Newmarket Films
Higher Ground,Vera Farmiga,"Vera Farmiga, Joshua Leonard, Norbert Leo Butz, Dagmara Dominczyk, John Hawkes, Bill Irwin, Ebon Moss-Bachrach, Donna Murphy",Drama,Sony Pictures Classics
,,,,Based on the memoir This Dark World by Carolyn Briggs
Hoodwinked Too! Hood vs. Evil,Mike Disa,"Hayden Panettiere, Glenn Close, Patrick Warburton, Joan Cusack, Bill Hader, Amy Poehler, Andy Dick, David Ogden Stiers, Cory Edwards, Martin Short, Debra Wilson, Brad Garrett, Wayne Newton,David Alan Grier, Cheech Marin, Tommy Chong, Rob Paulsen, Heidi Klum","Animated, Family","The Weinstein Company, Blue Yonder Films"
,,,,Preceded byHoodwinked!(2006)
Hop,Tim Hill,"James Marsden, Russell Brand (voice), Kaley Cuoco, Hank Azaria (voice), Gary Cole, Elizabeth Perkins, David Hasselhoff, Chelsea Handler and Hugh Laurie (voice)","Family, Live action","Universal Pictures,Relativity Media,Illumination Entertainment"
Horrible Bosses,Seth Gordon,"Jason Bateman, Charlie Day, Jason Sudeikis, with Jennifer Aniston, Colin Farrell, Kevin Spacey,Donald Sutherland and Jamie Foxx",Black comedy,New Line Cinema
Hugo,Martin Scorsese,"Ben Kingsley, Sacha Baron Cohen, Asa Butterfield, Chloë Grace Moretz, Ray Winstone, Emily Mortimer and Jude Law, Christopher Lee, Helen McCrory, Michael Stuhlbarg, Marco Aponte, Frances de la Tour, Richard Griffiths, Johnny Depp","Adventure, Drama","Paramount Pictures, GK Films, Infinitum Nihil"
,,,,Based on The Invention of Hugo Cabret by Brian Selznick
I Am Number Four,D. J. Caruso,"Alex Pettyfer, Timothy Olyphant, Teresa Palmer, Dianna Agron, Callan McAuliffe, Kevin Durand","Sci-fi, Teen",DreamWorks Pictures
,,,,Based on thenovel of the same name by Pittacus Lore
I Don't Know How She Does It,Douglas McGrath,"Sarah Jessica Parker, Pierce Brosnan, Greg Kinnear, Christina Hendricks, Kelsey Grammer, Seth Meyers, Olivia Munn",Comedy,The Weinstein Company
,,,,Based on the novel of the same name by Allison Pearson
I Melt with You,Mark Pellington,"Thomas Jane, Jeremy Piven, Rob Lowe, Christian McKay, Carla Gugino, Tom Bower, Arielle Kebbel,Sasha Grey",Thriller,Magnolia Pictures
The Ides of March,George Clooney,"Ryan Gosling, George Clooney, Philip Seymour Hoffman, Paul Giamatti, Marisa Tomei, Jeffrey Wrightand Evan Rachel Wood","Political drama,Political thriller",Columbia Pictures
,,,,Based onFarragut North byBeau Willimon
Immortals,Tarsem Singh,"Henry Cavill, Stephen Dorff, Luke Evans, Isabel Lucas, Kellan Lutz, Freida Pinto, Mickey Rourke","Action drama, Fantasy",Relativity
In Time,Andrew Niccol,"Amanda Seyfried, Justin Timberlake, Alex Pettyfer, Cillian Murphy, Olivia Wilde, Matt Bomer, Johnny Galecki, Vincent Kartheiser, Elena Satine","Science fiction, Thriller","20th Century Fox,Regency Enterprises"
Inside Out,Artie Mandelberg,"Paul ""Triple H"" Levesque, Michael Rapaport, Parker Posey, Julie White, Michael Cudlitz and Bruce Dern",Crime drama,"Samuel Goldwyn Films, WWE Studios"
Insidious,James Wan,"Patrick Wilson, Rose Byrne and Barbara Hershey",Horror,"Filmdistrict, Stage 6 Films, Alliance Films"
J. Edgar,Clint Eastwood,"Leonardo DiCaprio, Naomi Watts, Armie Hammer, Josh Lucas and Judi Dench, Damon Herriman, Ed Westwick, Jeffrey Donovan, Ken Howard, Stephen Root, Denis O'Hare, Geoff Pierson, Lea Thompson, Gunner Wright","Bio-pic, Drama","Warner Bros. Pictures, Imagine Entertainment"
Jack and Jill,Dennis Dugan,"Adam Sandler, Katie Holmes and Al Pacino",Comedy,"Columbia Pictures, Happy Madison"
Janie Jones,David M. Rosenthal,"Abigail Breslin, Alessandro Nivola and Elisabeth Shue, Brittany Snow, Peter Stormare, Joel Moore,Frances Fisher, Frank Whaley, Rodney Eastman","Drama, Musical",Tribeca Film
Judy Moody and the Not Bummer Summer,John Schultz,"Heather Graham, Parris Mosteller, Preston Bailey, Garrett Ryan, Taylar Hender, Jaleel White and introducing Jordana Betty",Family,Relativity
,,,,Based on thebook series of the same name byMegan McDonald
Jumping the Broom,Salim Akil,"Angela Bassett, Paula Patton, Laz Alonso, Loretta Devine and Mike Epps, Meagan Good, Tasha Smith, Julie Bowen, Romeo Miller, DeRay Davis, Valarie Pettiford",Dramedy,TriStar Pictures
Just Go with It,Dennis Dugan,"Adam Sandler, Jennifer Aniston, Brooklyn Decker, Nick Swardson, Nicole Kidman, Dave Matthews,Bailee Madison",Romantic comedy,"Columbia Pictures, Happy Madison"
Justin Bieber: Never Say Never,Jon Chu,Chronicles the life of teen sensation Justin Bieber and his career. Shows concert footage of his 2010My World Tour.,"Concert, Documentary","Paramount Pictures, MTV Films"
Kill the Irishman,Jonathan Hensleigh,"Ray Stevenson, Vincent D'Onofrio with Val Kilmer and Christopher Walken, Linda Cardellini, Fionnula Flanagan, Jason Butler Harner, Vinnie Jones, Paul Sorvino, Marcus Thomas",Crime drama,Anchor Bay Films
Killer Elite,Gary McKendry,"Jason Statham, Clive Owen and Robert De Niro, Dominic Purcell, Aden Young, Yvonne Strahovski,Ben Mendelsohn, Adewale Akinnuoye-Agbaje, Grant Bowler, Matthew Nable",Action,"Open Road Films, Omnilab Media"
,,,,Based on The Feather Men bySir Ranulph Fiennes
Kung Fu Panda 2,Jennifer Yuh,"Jack Black, Dustin Hoffman, Angelina Jolie, Ian McShane, Seth Rogen, Lucy Liu, David Cross, James Hong, Jackie Chan, Victor Garber, Michelle Yeoh, Dennis Haysbert, Gary Oldman, Danny McBride,James Woods, Jean-Claude Van Damme","Animated, Family","Paramount Pictures,DreamWorks Animation"
,,,,Preceded byKung Fu Panda(2008)
Larry Crowne,Tom Hanks,"Tom Hanks, Julia Roberts, Bryan Cranston, Cedric the Entertainer, Taraji P. Henson, Gugu Mbatha-Raw, Wilmer Valderrama, Pam Grier, Rita Wilson, George Takei, Rob Riggle",Comedy-drama,"Universal Pictures, Playtone"
Life in a Day,Kevin Macdonald,"Shot by filmmakers all over the world through YouTube, it serves as a time capsule to show future generations what it was like to be alive on the 24th of July, 2010.",Documentary,"National Geographic Films, Scott Free Productions,YouTube Films"
Like Crazy,Drake Doremus,"Anton Yelchin, Felicity Jones, Jennifer Lawrence, Charlie Bewley, Alex Kingston, Oliver Muirhead,Finola Hughes, Chris Messina, Ben York Jones, Jamie Thomas King",Drama,Paramount Vantage
Limitless,Neil Burger,"Bradley Cooper, Abbie Cornish, Robert De Niro, Andrew Howard, Anna Friel",Thriller,Relativity
,,,,Based on The Dark Fields byAlan Glynn
The Lincoln Lawyer,Brad Furman,"Matthew McConaughey, Marisa Tomei, Ryan Phillippe, Josh Lucas, John Leguizamo, Michael Peña,Frances Fisher, Bob Gunton, with Bryan Cranston and William H. Macy","Mystery,Suspense thriller",Lionsgate
,,,,Based on thenovel of the same name by Michael Connelly
Lucky,"Gil Cates, Jr.","Colin Hanks, Ari Graynor, Ann-Margret, Mimi Rogers, Jeffrey Tambor",Dark comedy,"Phase 4 Films,Ten/Four Pictures"
Machine Gun Preacher,Marc Forster,"Gerard Butler, Michael Shannon, Michelle Monaghan, Souléymane Sy Savané, Madeline Carroll,Kathy Baker","Action, Bio-pic",Relativity Media
Madea's Big Happy Family,Tyler Perry,"Loretta Devine, Shad ""Bow Wow"" Moss, David Mann, Cassi Davis, Tamela Mann, Lauren London,Isaiah Mustafa, Rodney Perry, Shannon Kane and Tyler Perry",Dramedy,Lionsgate
,,,,Based on the play of the same nameby Tyler Perry
Margaret,Kenneth Lonergan,"Anna Paquin, J. Smith-Cameron, Jean Reno, Jeannie Berlin, Allison Janney, Matthew Broderick, Mark Ruffalo and Matt Damon, Kieran Culkin, Olivia Thirlby, John Gallagher, Jr., Rosemarie DeWitt, Matt Bush",Drama,Fox Searchlight Pictures
Margin Call,J.C. Chandor,"Kevin Spacey, Paul Bettany, Jeremy Irons, Zachary Quinto, Penn Badgley, Simon Baker, Mary McDonnell, with Demi Moore and Stanley Tucci",Drama,"Lionsgate,Roadside Attractions"
Mars Needs Moms,Simon Wells,"Seth Green (Seth Dusky (voice)), Dan Fogler, Elisabeth Harnois, Mindy Sterling and Joan Cusack","Animated, Sci-fi comedy","Walt Disney Pictures,ImageMovers Digital"
,,,,Based on the children's book of the same name by Berkeley Breathed
Martha Marcy May Marlene,Sean Durkin,"Elizabeth Olsen, Brady Corbet, Hugh Dancy, John Hawkes, Louisa Krause, Sarah Paulson",Thriller,Fox Searchlight Pictures
The Mechanic,Simon West,"Jason Statham, Ben Foster, Donald Sutherland",Action,CBS Films
,,,,Remake of the1972 film of the same name
Midnight in Paris,Woody Allen,"Kathy Bates, Adrien Brody, Carla Bruni, Marion Cotillard, Rachel McAdams, Michael Sheen, Owen Wilson",Romantic comedy,Sony Pictures Classics
Mission: Impossible ? Ghost Protocol,Brad Bird,"Tom Cruise, Jeremy Renner, Simon Pegg, Paula Patton, Michael Nyqvist, Vladimir Mashkov, Samuli Edelmann, Anil Kapoor, Josh Holloway, Léa Seydoux, Tom Wilkinson","Action thriller, Spy film","Paramount Pictures,Skydance Productions"
,,,,Preceded byMission: Impossible III(2006)
Moneyball,Bennett Miller,"Brad Pitt, Jonah Hill, Philip Seymour Hoffman, Robin Wright, Chris Pratt, Casey Bond, Stephen Bishop, Royce Clayton, David Hutchinson, Kathryn Morris","Drama, Sports",Columbia Pictures
,,,,Based onMoneyball: The Art of Winning an Unfair Game byMichael Lewis
Monte Carlo,Thomas Bezucha,"Selena Gomez, Leighton Meester, Katie Cassidy, Cory Monteith, Andie MacDowell, Brett Cullen,Catherine Tate, Luke Bracey, Pierre Boulanger",Romantic comedy,"20th Century Fox,Regency Enterprises"
,,,,Based onHeadhunters byJules Bass
Mr. Popper's Penguins,Mark Waters,"Jim Carrey, Carla Gugino, Philip Baker Hall, Angela Lansbury, Clark Gregg, Madeline Carroll, Maxwell Perry Cotton, Ophelia Lovibond, Dominic Chianese",Family,"20th Century Fox,Davis Entertainment,Central Casting"
,,,,Based on the children's book of the same nameby Richard and Florence Atwater
The Muppets,James Bobin,"Jason Segel, Amy Adams, Chris Cooper, Rashida Jones","Comedy, Musical","Walt Disney Pictures,Mandeville Films,The Muppets Studio"
,,,,Based on The Muppets by Jim Henson
,,,,Preceded byMuppets from Space (1999)
The Music Never Stopped,Jim Kohlberg,"J. K. Simmons, Lou Taylor Pucci, Cara Seymour with Julia Ormond, Tammy Blanchard, Mía Maestro,Scott Adsit, James Urbaniak",Drama,Roadside Attractions
,,,,Based on The Last Hippie byOliver Sacks
New Year's Eve,Garry Marshall,"Halle Berry, Jessica Biel, Jon Bon Jovi, Abigail Breslin, Chris ""Ludacris"" Bridges, Robert De Niro, Josh Duhamel, Zac Efron, Héctor Elizondo, Katherine Heigl, Ashton Kutcher, Seth Meyers, Lea Michele,Sarah Jessica Parker, Michelle Pfeiffer, Til Schweiger, Hilary Swank, Sofía Vergara",Romantic comedy,New Line Cinema
No Strings Attached,Ivan Reitman,"Natalie Portman, Ashton Kutcher, Cary Elwes, Kevin Kline, Greta Gerwig, Lake Bell, Chris ""Ludacris"" Bridges",Romantic comedy,Paramount Pictures
One Day,Lone Scherfig,"Anne Hathaway, Jim Sturgess, Romola Garai, Rafe Spall, Ken Stott, Patricia Clarkson, Jodie Whittaker, Jamie Sives, Georgia King",Romantic drama,Focus Features
,,,,Based on thenovel of the same name by David Nicholls
Our Idiot Brother,Jesse Peretz,"Paul Rudd, Elizabeth Banks, Zooey Deschanel, Emily Mortimer, Steve Coogan, Hugh Dancy, Kathryn Hahn, Rashida Jones, Shirley Knight, T. J. Miller, Adam Scott",Dramedy,The Weinstein Company
Page One: A Year Inside the New York Times,Andrew Rossi,Unprecedented access to the New York Times newsroom yields a complex view of the transformation of a media landscape fraught with both peril and opportunity.,Documentary,"Magnolia Pictures,Participant Media"
Paranormal Activity 3,Henry Joost and Ariel Schulman,"Katie Featherston, Sprague Grayden, Brian Boland, Lauren Bittner, Christopher Nicholas Smith, Mark Fredrichs, Chloe Cserngey, Jessica Tyler Brown",Supernatural horror,Paramount Pictures
,,,,Preceded byParanormal Activity 2 (2010)
Paul,Greg Mottola,"Simon Pegg, Nick Frost, Jason Bateman, Kristen Wiig, Sigourney Weaver, Seth Rogen (voice), Bill Hader, Jane Lynch, Jeffrey Tambor",Sci-fi comedy,Universal Pictures
Pearl Jam Twenty,Cameron Crowe,A rockumentary based on influential rock band Pearl Jam that marks their 20th anniversary in the year 2011.,Rockumentary,Vinyl Films
Peep World,Barry W. Blaustein,"Judy Greer, Michael C. Hall, Taraji P. Henson, Kate Mara, Ron Rifkin, Ben Schwartz, Sarah Silverman, Lesley Ann Warren, Rainn Wilson",Comedy-drama,IFC Films
The Perfect Host,Nick Tomnay,"David Hyde Pierce, Clayne Crawford, Nathaniel Parker, Megahn Perry and Helen Reddy","Dark comedy, Thriller",Magnolia Pictures
Pirates of the Caribbean: On Stranger Tides,Rob Marshall,"Johnny Depp, Penélope Cruz, Ian McShane, Kevin McNally and Geoffrey Rush","Action-adventure, Family",Walt Disney Pictures
,,,,Preceded byPirates of the Caribbean: At World's End(2007)
Priest,Scott Stewart,"Paul Bettany, Karl Urban, Cam Gigandet, Maggie Q, Lily Collins, with Stephen Moyer and Christopher Plummer",Horror,Screen Gems
,,,,Based on theKorean graphic novel series of the same nameby Min-Woo Hyung
Prom,Joe Nussbaum,"Aimee Teegarden, Nicholas Braun, Dean Norris, Danielle Campbell, Cameron Monaghan, Christine Elise McCarthy, Raini Rodriguez, Jere Burns, Aimee-Lynn Chadwick, Yin Chang, Allie Trimm, Jared Kusnitz, Thomas McDonell","Romantic comedy, Teen",Walt Disney Pictures
Puncture,Adam andMark Kassen,"Chris Evans, Mark Kassen, Brett Cullen, Marshall Bell, Michael Biehn, Jesse L. Martin, Roxanna Hope, Tess Parker, with Kate Burton and Vinessa Shaw",Legal drama,Millennium Entertainment
Puss in Boots,Chris Miller,"Antonio Banderas, Salma Hayek, Zach Galifianakis, Billy Bob Thornton, Amy Sedaris, Walt Dohrn(narrator), Zeus Mendoza, Constance Marie","Adventure, Animated","Paramount Pictures,DreamWorks Animation"
Rango,Gore Verbinski,"Johnny Depp, Isla Fisher, Abigail Breslin, Alfred Molina, Bill Nighy, Harry Dean Stanton, Ray Winstone, Timothy Olyphant","Animated, Family, Western","Paramount Pictures,Nickelodeon Movies"
Real Steel,Shawn Levy,"Hugh Jackman, Dakota Goyo, Evangeline Lilly, Kevin Durand, Anthony Mackie, James Rebhorn,Rima Fakih, Rick Yune",Action drama,DreamWorks Pictures
,,,,Based on Steelby Richard Matheson
Red Riding Hood,Catherine Hardwicke,"Amanda Seyfried, Gary Oldman, Billy Burke, Shiloh Fernandez, Max Irons, Virginia Madsen, Lukas Haas, Julie Christie","Fantasy romance,Horror",Warner Bros. Pictures
,,,,Based on the folk tale Little Red Riding Hood
Red State,Kevin Smith,"Michael Angarano, Kerry Bishé, Nicholas Braun, Kyle Gallner, Ralph Garman, John Goodman, Matt L. Jones, Melissa Leo, James Parks, Michael Parks, Kevin Pollak, Haley Ramm, Stephen Root",Horror,"SModcast Pictures,Lionsgate"
Restless,Gus Van Sant,"Henry Hopper, Mia Wasikowska, Schuyler Fisk, Jane Adams, Chin Han, Ryo Kase, Lusia Strus",Drama,"Sony Pictures Classics, Imagine Entertainment"
The Reunion,Michael Pavone,"John Cena, Ethan Embry, Michael Rispoli, Boyd Holbrook, Gregg Henry, Lela Loren, Jack Conley andAmy Smart",Action,"Samuel Goldwyn Films, WWE Studios"
Rio,Carlos Saldanha,"Jesse Eisenberg, Anne Hathaway, George Lopez, Jemaine Clement, Jake T. Austin, Leslie Mann,Tracy Morgan, will.i.am, Jamie Foxx","Animated, Family","20th Century Fox,Blue Sky Studios"
Rise of the Planet of the Apes,Rupert Wyatt,"James Franco, Freida Pinto, Andy Serkis, Tom Felton, David Hewlett, Chelah Horsdal, Brian Cox,Jamie Harris, Tyler Labine, David Oyelowo, John Lithgow",Science fiction,20th Century Fox
The Rite,Mikael Håfström,"Anthony Hopkins, Colin O'Donoghue, Maria Grazia Cucinotta, Alice Braga, Ciarán Hinds, Toby Jones,Chris Marquette, Rutger Hauer, Franco Nero",Psychological horror,"Warner Bros. Pictures, New Line Cinema"
,,,,Based on The Rite: The Making of a Modern Exorcist by Matt Baglio
The Roommate,Christian E. Christiansen,"Leighton Meester, Minka Kelly, Cam Gigandet, Aly Michalka, Danneel Harris, Frances Fisher and Billy Zane",Thriller,Screen Gems
The Rum Diary,Bruce Robinson,"Johnny Depp, Aaron Eckhart, Michael Rispoli, Amber Heard, Richard Jenkins and Giovanni Ribisi,Amaury Nolasco, Marshall Bell, Bill Smitrovich, Julian Holloway, Karen Austin, Jason Smith","Dramedy, Thriller",FilmDistrict
,,,,Based on the novel of the same name by Hunter S. Thompson
Sanctum,Alister Grierson,"Richard Roxburgh, Rhys Wakefield, Alice Parkinson, Dan Wyllie, Ioan Gruffudd","Adventure, Disaster","Universal Pictures,Relativity Media"
Scream 4,Wes Craven,"Neve Campbell, Courteney Cox, David Arquette, Emma Roberts, Hayden Panettiere, Anthony Anderson, Alison Brie, Adam Brody, Rory Culkin, Marielle Jaffe, Erik Knudsen, Mary McDonnell,Brittany Robertson, Marley Shelton, Aimee Teegarden, Nico Tortorella, Anna Paquin, Kristen Bell,Shenae Grimes, Lucy Hale",Horror thriller,Dimension Films
,,,,Preceded byScream 3 (2000)
Season of the Witch,Dominic Sena,"Nicolas Cage, Ron Perlman, Stephen Campbell Moore, Claire Foy, Stephen Graham, Ulrich Thomsen, Robert Sheehan and Christopher Lee","Action, Fantasy","Rogue Pictures,Relativity Media"
Seven Days in Utopia,Matthew Dean Russell,"Robert Duvall, Lucas Black, Melissa Leo, Deborah Ann Woll, Brian Geraghty, Joseph Lyle Taylor,Jerry Ferrara, K. J. Choi, Kathy Baker","Drama, Sports",Utopia Pictures
,,,,Based on Golf's Sacred Journey: Seven Days at the Links of Utopia by David L. Cook
Shark Night 3D,David R. Ellis,"Sara Paxton, Dustin Milligan, Katharine McPhee, Alyssa Diaz, Joel David Moore, Joshua Leonard,Chris Zylka, Chris Carmack, Donal Logue",Horror thriller,Rogue
Sherlock Holmes: A Game of Shadows,Guy Ritchie,"Robert Downey, Jr., Jude Law, Noomi Rapace, Jared Harris, Eddie Marsan and Rachel McAdams,Stephen Fry, Geraldine James, Kelly Reilly","Action, Mystery","Warner Bros. Pictures, Village Roadshow Pictures"
,,,,Preceded bySherlock Holmes(2009)
The Sitter,David Gordon Green,"Jonah Hill, Max Records, Ari Graynor, J. B. Smoove and Sam Rockwell",Comedy,20th Century Fox
Skateland,Anthony Burns,"Shiloh Fernandez, Ashley Greene, Heath Freeman, Brett Cullen, James LeGros, Melinda McGrawand Taylor Handley, Haley Ramm","Drama, Teen",Freestyle Releasing
The Smurfs,Raja Gosnell,"Neil Patrick Harris, Jayma Mays, George Lopez (voice), Katy Perry (voice), Hank Azaria, Sofía Vergara, Alan Cumming (voice), Jonathan Winters (voice), Anton Yelchin (voice), Paul Reubens(voice), John Oliver (voice), Kenan Thompson (voice), Fred Armisen (voice), B.J. Novak (voice), Jeff Foxworthy (voice), Tim Gunn, Wolfgang Puck (voice)","Family, Live-action","Columbia Pictures, Sony Pictures Animation, The Kerner Entertainment Company"
,,,,Based on the comic book series by Peyo and the1981 animated TV series of the same name
,,,,Preceded by The Smurfs and the Magic Flute(1976)
Snow Flower and the Secret Fan,Wayne Wang,"Gianna Jun, Li Bingbing, Vivian Wu, Jiang Wu, Russell Wong, Coco Chiang, Jingyu Hu, Archie Kao, Jennifer Lim (voice), Christina Y. Jun (voice), Hugh Jackman",Drama,Fox Searchlight Pictures
,,,,Based on the novel of the same name by Lisa See
Something Borrowed,Luke Greenfield,"Kate Hudson, Ginnifer Goodwin, John Krasinski, Colin Egglesfield, Steve Howey",Romantic comedy,Summit Entertainment. Based on thenovel of the same name by Emily Giffin
The Son of No One,Dito Montiel,"Channing Tatum, Tracy Morgan, Katie Holmes, Ray Liotta, with Juliette Binoche and Al Pacino","Action thriller, Crime drama","Anchor Bay Films,Millennium Films"
Soul Surfer,Sean McNamara,"AnnaSophia Robb, Helen Hunt, Lorraine Nicholson, Dennis Quaid, Carrie Underwood","Bio-pic, Drama",TriStar Pictures
Source Code,Duncan Jones,"Jake Gyllenhaal, Michelle Monaghan, Vera Farmiga, Jeffrey Wright","Science fiction, Thriller",Summit Entertainment
Spy Kids: All the Time in the World,Robert Rodriguez,"Jessica Alba, Joel McHale, Alexa Vega, Daryl Sabara, Rowan Blanchard, Mason Cook, with Ricky Gervais (voice) and Jeremy Piven, Danny Trejo","Family, Spy film",Dimension Films
,,,,Preceded by Spy Kids 3-D: Game Over (2003)
Straw Dogs,Rod Lurie,"James Marsden, Kate Bosworth, Alexander Skarsgård, Dominic Purcell, Laz Alonso, Willa Holland andJames Woods, Anson Mount, Walton Goggins, Rhys Coiro, Drew Powell",Thriller,Screen Gems
,,,,Based on The Siege of Trencher's Farmby Gordon Williams
,,,,Remake of the 1971 film of thesame name bySam Peckinpah
Sucker Punch,Zack Snyder,"Emily Browning, Abbie Cornish, Jena Malone, Vanessa Hudgens, Jamie Chung, Oscar Isaac, Carla Gugino, Jon Hamm, Scott Glenn","Action, Fantasy","Warner Bros. Pictures,Legendary Pictures"
Super,James Gunn,"Rainn Wilson, Ellen Page, Liv Tyler, Kevin Bacon, Nathan Fillion, Gregg Henry, Michael Rooker,Andre Royo, Sean Gunn, Stephen Blackehart, Linda Cardellini","Dark comedy,Superhero",IFC Films
Super 8,J. J. Abrams,"Joel Courtney, Elle Fanning, Kyle Chandler, Ron Eldard, Noah Emmerich, Gabriel Basso, Riley Griffiths, Ryan Lee, Zach Mills, Amanda Michalka",Science fiction,"Paramount Pictures, Bad Robot Productions,Amblin Entertainment"
Take Me Home Tonight,Michael Dowse,"Topher Grace, Anna Faris, Teresa Palmer, Dan Fogler, Michelle Trachtenberg, Chris Pratt, Robert Hoffman, Lucy Punch, Michael Ian Black, Lauren Conrad, Audrina Patridge, Heidi Montag, Demetri Martin",Comedy,"Rogue Pictures,Imagine Entertainment,Relativity Media"
Take Shelter,Jeff Nichols,"Michael Shannon, Jessica Chastain, Shea Whigham, Katy Mixon and Kathy Baker, Ray McKinnon,Lisa Gay Hamilton",Drama,Sony Pictures Classics
Texas Killing Fields,Ami Canaan Mann,"Sam Worthington, Jeffrey Dean Morgan, Jessica Chastain, Chloë Grace Moretz, Jason Clarke,Annabeth Gish, Sheryl Lee and Stephen Graham",Crime,Anchor Bay Films
That's What I Am,Michael Pavone,"Ed Harris, Chase Ellison, Molly Parker, Daniel Roebuck, Randy Orton, Daniel Yelsky, Alexander Walters, Mia Rose Frampton and Amy Madigan","Dramedy, Family","Samuel Goldwyn Films, WWE Studios"
The Thing,"Matthijs van Heijningen, Jr.","Mary Elizabeth Winstead, Joel Edgerton, Ulrich Thomsen, Adewale Akinnuoye-Agbaje, Eric Christian Olsen, Kim Bubbs, Jørgen Langhelle, Jonathan Lloyd Walker, Trond Espen Seim, Stig Henrik Hoff,Carsten Bjørnlund, Jan Gunnar Røise, Paul Braunstein",Sci-fi horror,Universal Pictures
,,,,"Based on Who Goes There? byJohn W. Campbell, Jr."
,,,,A prequel to the 1982 John Carpenter film of the same name
Thor,Kenneth Branagh,"Chris Hemsworth, Natalie Portman, Tom Hiddleston, Stellan Skarsgård, Colm Feore, Ray Stevenson,Idris Elba, Kat Dennings with Rene Russo and Anthony Hopkins",Superhero,"Paramount Pictures, Marvel Entertainment"
,,,,"Based on the comic book character of the same name byStan Lee, Larry Lieber and Jack Kirby"
The Three Musketeers,Paul W. S. Anderson,"Logan Lerman, Milla Jovovich, Matthew Macfadyen, Ray Stevenson, Luke Evans, Mads Mikkelsen,Gabriella Wilde, James Corden, Juno Temple, Freddie Fox, Til Schweiger, with Orlando Bloom andChristoph Waltz",Action-adventure,Summit Entertainment
,,,,Based on thenovel of the same name byAlexandre Dumas
Tower Heist,Brett Ratner,"Ben Stiller, Eddie Murphy, Casey Affleck, Alan Alda, Matthew Broderick, Téa Leoni, Michael Peña,Gabourey Sidibe, Judd Hirsch","Comedy, Crime","Universal Pictures, Imagine Entertainment,Relativity Media"
Transformers: Dark of the Moon,Michael Bay,"Shia LaBeouf, Josh Duhamel, John Turturro, Tyrese Gibson, Rosie Huntington-Whiteley, Patrick Dempsey, Kevin Dunn, Julie White, with John Malkovich and Frances McDormand",Science fiction,Paramount Pictures
,,,,Preceded byTransformers: Revenge of the Fallen (2009)
The Tree of Life,Terrence Malick,"Brad Pitt, Sean Penn, Jessica Chastain",Drama,"Fox Searchlight Pictures, Plan B Entertainment"
